アプリバージョン
81.241.1100
端末名
IS05
OSバージョン
2.2.1
項目ID,階層・項目名,収集結果
1000,端末情報,
1001,バージョン,
1002,OSバージョン,2.2.1
1003,ビルド番号,01.00.02
1020,カーネルバージョン,"2.6.32.9-perf
nbproj@TG721404 #1
Fri Feb 25 16:49:03 JST 2011"
1023,無線ファームウェアバージョン,N/A
1004,ビルド情報,
1005,ネイティブコードの命令セット,armeabi-v7a
1006,ネイティブコードの第2命令セット,armeabi
1007,ビルドID,S2251
1008,製造元,SHARP
1009,機種名,IS05
1010,製品名,SHI05
1011,CPU,
1012,CPU名,ARMv7 Processor rev 1 (v7l)
1013,搭載メモリ,
1014,RAM(MB),333
1015,最大ヒープサイズ(MB),24
1021,内部ストレージ,
1022,/dataの容量(MB),422
1016,設定メニュー構成,
1017,android.provider.Settingsで定義されているACTIONのうち、非対応のメニュー項目,"android.settings.APPLICATION_DETAILS_SETTINGS,
android.settings.APPLICATION_DEVELOPMENT_SETTINGS,
android.settings.INPUT_METHOD_SUBTYPE_SETTINGS,
android.settings.MANAGE_ALL_APPLICATIONS_SETTINGS,
android.settings.NETWORK_OPERATOR_SETTINGS,
android.settings.QUICK_LAUNCH_SETTINGS"
1018,利用可能なFeatureの一覧,
1019,利用可能なFeatureの一覧,"android.hardware.wifi,
android.hardware.location.network,
jp.co.sharp.android.hardware.fmtransmitter,
android.hardware.telephony,
android.hardware.location,
android.hardware.touchscreen.multitouch,
android.hardware.sensor.compass,
android.hardware.camera,
jp.co.sharp.android.addressbookclassic,
android.hardware.touchscreen.multitouch.distinct,
android.hardware.bluetooth,
jp.co.sharp.android.pedometer,
android.hardware.sensor.proximity,
android.hardware.sensor.light,
android.hardware.microphone,
android.hardware.location.gps,
android.hardware.camera.autofocus,
android.hardware.telephony.cdma,
android.software.live_wallpaper,
android.hardware.touchscreen,
android.hardware.sensor.accelerometer,
android.hardware.camera.flash"
13017,Telephony,
13018,IMEI,
11000,通信,
11001,SSL,
11002,バージョン,"SSLv3,
TLSv1"
