アプリバージョン
81.241.1100
端末名
SC-01C
OSバージョン
2.3.3
項目ID,階層・項目名,収集結果
1000,端末情報,
1001,バージョン,
1002,OSバージョン,2.3.3
1003,ビルド番号,GINGERBREAD.OMKE2
1020,カーネルバージョン,"2.6.35.7
se.infra@SEP-55 #2
Mon May 9 20:17:41 KST 2011"
1023,無線ファームウェアバージョン,N/A
1004,ビルド情報,
1005,ネイティブコードの命令セット,armeabi-v7a
1006,ネイティブコードの第2命令セット,armeabi
1007,ビルドID,GINGERBREAD
1008,製造元,samsung
1009,機種名,SC-01C
1010,製品名,SC-01C
1011,CPU,
1012,CPU名,ARMv7 Processor rev 2 (v7l)
1013,搭載メモリ,
1014,RAM(MB),444
1015,最大ヒープサイズ(MB),64
1021,内部ストレージ,
1022,/dataの容量(MB),1918
1016,設定メニュー構成,
1017,android.provider.Settingsで定義されているACTIONのうち、非対応のメニュー項目,"android.settings.APPLICATION_DETAILS_SETTINGS,
android.settings.APPLICATION_DEVELOPMENT_SETTINGS,
android.settings.INPUT_METHOD_SUBTYPE_SETTINGS,
android.settings.NETWORK_OPERATOR_SETTINGS,
android.settings.QUICK_LAUNCH_SETTINGS,
android.settings.USER_DICTIONARY_SETTINGS"
1018,利用可能なFeatureの一覧,
1019,利用可能なFeatureの一覧,"android.hardware.wifi,
android.hardware.location.network,
android.hardware.telephony,
android.hardware.location,
android.hardware.sensor.gyroscope,
android.hardware.touchscreen.multitouch.jazzhand,
android.hardware.touchscreen.multitouch,
android.hardware.sensor.compass,
android.software.status_bar.quick_panel.mini_controllers,
android.hardware.camera,
android.hardware.bluetooth,
android.hardware.touchscreen.multitouch.distinct,
android.hardware.microphone,
android.software.status_bar.quick_panel.brightness_settings,
android.hardware.sensor.light,
android.hardware.location.gps,
android.hardware.telephony.gsm,
android.hardware.camera.autofocus,
android.hardware.camera.front,
android.hardware.sensor.accelerometer,
android.software.live_wallpaper,
android.software.status_bar.quick_panel.quick_settings,
android.hardware.touchscreen,
android.hardware.camera.flash"
13017,Telephony,
13018,IMEI,
11000,通信,
11001,SSL,
11002,バージョン,"SSLv3,
TLSv1"
